,cos_tr,cos_te,c,parsed_body_ans
460,,,,helpful link:https://stackoverflow.com/questions/5108483/access-localhost-from-the-internet
461,,,,"hi, you can see the step by step installation procedures on the following links...for windows, click herefor linux, click here"
462,,,,please check xampp is installed in your machine and the services are running without any error.we have given the instruction in the video and installation sheet. follow each and every step as specified.https://spoken-tutorial.org/media/videos/97/moodle-learning-management-system-installation-sheet-english.pdf
463,,,,hi rupakthanks.i am trying to run/simulate xcos : demos: electrical:and gate.nita
464,,,,hello cat is the command for linux os to read the file.it will not wok in windows os.
465,,,,"spec(""type name of matrix"")eg. spec(a)"
466,,,,"- to get a hands on trial of the admin tutorials, you can try installing moodle on your local system, i.e, pc or laptop.or- you can try out moodle cloud's free trial version which you can use for 45 days (trial period) at https://moodlecloud.com/or- https://www.gnomio.com/ also allows you to create a free moodle site with certain limitations. read their 'terms of service' thoroughly.let us know if you have any further queries."
467,,,,"dear prof. kannan,the convention for any face of a block, when defining the boundary in the ""boundary"" list of blockmeshdict, should be such that the vertices are ordered clockwise when viewed from inside that block. the statement holds true for any face of the block. another way of saying this would be ""the vertices when viewed from outside the block should be ordered anti-clockwise"". regards,ashley"
468,,,,"please refer the tutorial ""configuration management in admin interface"" at 2.44. "
469,,,,"yes, so after this training today, if you have any error or doubts on our arduino tutorials, you can post it here on the forum and our team will answer to that query."
470,,,,"go to more-  administration click on item type , u can get the value and edit that"
471,,,,"please check the following:1. your laptop configuration should have the specifications as specified under system requirements in the link https://developer.android.com/studio/2. install android studio as per the instruction given inhttps://spoken-tutorial.org/media/videos/105/android-app-using-kotlin-installation-sheet-english.pdf3. there should not be drop in internet connection while installing and building the first project.4. follow the steps as shown in the tutorial "" getting started with hello world app"". it explains how to do the setup in the android phone."
472,,,,"correct! in python 2.7, we get the list whereas in python3 we need to explicitly do type casting.the solution slide is updated but not yet reflected."
473,,,,kindly explain your question
474,,,,"open cvpcb, go to preferences -> click on footprint libraries and make sure that the 'plugin type' for components is set to 'github', othwerwise legacy or default footprints are selected"
475,,,,"after the opening comment subject can be followedex:\opening{dear sir\madam,}{sub: tour -reg.}"
476,,,,tand(45)
477,,,,"be, mca or mba students are not eligible to attend the main workshop as they wouldn't get certificates. but one can enroll university/ college teachers, and even enthusiastic schools teachers, who are faculty and ph.d. research scholars for the workshop.regards"
478,,,,
479,,,,"dear viewer,anyone can learn foss using our audio video tutorials free of cost. the instructions to download the tutorials can be found in our website http://process.spoken-tutorial.org/index.php/software-training#downloading_spoken_tutorials. the tutorials are downloaded in zip file. locate the videos, you will be able to view the tutorials in vlc media player.hope we have answered your query. a request, for non-technical queries, you are requested to contact your state's coordinator in spoken tutorial at http://process.spoken-tutorial.org/index.php/software-training#contacts_for_training.thanks & regardsjessie velusamyspoken tutorial training coordinator - chhattisgarh, himachal pradesh"
480,,,,goto the https://www.techwalla.com/articles/how-to-install-pylab-on-pythonand follow the instructions.
481,,,,please provide your code here. we will be happy to help.
482,,,,"in scilab 6.1.0, the 'export to' window has been slightly modified. some of the options have been rearranged. 'save as' is changed to 'selection', 'file format' to 'filter', etc."
483,,,,"this means that the dimension of a*c is different from that of c*a.one way to check this is to calculatea*cfirst and then calculatec*acalculate each of them separately, then you can check the dimensions."
484,,,,"if you have installed the latest installer and have used the code files, this error will not generate as this issue is sorted out in the recent installer. it was informed to the rc.this error is mainly because of the pin type. if you place the cursor on the component and press ""ctrl+e"" and edit the pin configuration, then the pin type is open emitter and open collector. you need to change the pin type to passive by pressing ""e"" on the pins.once open emitter then we need to connect a pull-down resistor to emitter and then connect it to gnd. this will sort the error, but the design will not reflect the design incorporated in spoken tutorial."
485,,,,"you can write the deff() function in the console directly. please note the ""integration"" tutorial has to be practised on scilab 5.5.2."
486,,,,"this is because you have not installed beamer in your computer.  in the very first tutorial in the latex series ""latex on windows using texworks"", we have explained how to install such packages.  i suggest that you view that tutorial, learn how to install packages, and then do the beamer tutorial."
487,,,,its the server issue from z39.50 client site. 
488,,,,your question is difficult to understand.i went through the tutorial once to find out between 1-2 minute and 20-30 seconds.  there is no discussion of any csv file at all.  why not post your question at the right minute and second slot?
489,,,,"scilab 6.1.0 adds an imaginary component to the real value. even after adding this component answer remains the same, so it can be ignored."
490,,,,exactly. it is not possible because they have different size. this question was to motivate that concept.
491,,,,"you have pointed out that - 'during this video, it was instructed that “ensure that all your students have attempted the assignments. this is important before you review as a teacher.” my small query is why it is so? please elaborate a bit more.'this is because unless you have submissions for the assignment you have created in your course, you will not be able to get any output for the functionalities like 'download all submissions', grading etc. which is explained next in the video.you can always go ahead with the video in case you do not have any submissions at the moment and get to know about various features available during assignment grading process.then, once you get submissions, you will be able to apply/put into action the various options available according to your course assignment requirements.let us know if you have any further queries."
492,,,,"it looks like you have already installed pre-requisite packages of dspace (tomcat). as you are again trying to install additional packages, which is causing conflict with previously installed packages. kindly uninstall previous packages and again try to install pre-requisites. it is recommended to use freshly installed ubuntu 18.04 system."
493,,,,copy paste the url which is given to you. you must have deleted one or two characters from the given link.
494,,,,"dear sir,please make sure the transient analysis is given properly.please give detail about the error. if any error in conversion, then it will come in the terminal of ngspice that opens along with plots."
495,,,,"//assignment 7// program using by switch case  statement #include<stdio.h>void main() {int x, y;printf("" enter the age between 20 to 59\n"");scanf(""%d"", &y);x=y/10;switch(x) {case 2:printf("" age of employee between 20 to 29\n"");break;case 3:printf("" age of employee between 30 to 39 \n"");break;case 4:printf("" age of employee between 40 to 49 \n"");break;case 5:printf("" age of employee between 50 to 59 \n"");break;default:printf(""invalid age\n"");break;} getch();} output as follows y=55x=5age of employee between 50 to 59"
496,,,,you can add all the code to a file save it as a py file and run that file
497,,,,you can use anaconda https://www.anaconda.com/products/individual. it provides you all the necessary packages.
498,,,,"to use image as a link you have to use <img> as well as <a>.for example:<a href=""http://google.com><img alt=""landscape"" src=""https://google/image/landscape.jpg""></a>"
499,,,,"openmodelica is a modelling software which can be used to create your own models and then simulate them. it also comes with its native library of thermal, electrical, mechanics, fluid, mathematics etc. one can use these existing models, drag and drop them to create their own model.as far as membrane separation process is concerned, you can create your own model for it provided you are aware of the variables and equations that govern its working. in case you want help to get started with working and building of models using openmodelica, refer to our spoken tutorials here."
500,,,,refer tutorial no. 6 create a superlibrarian from spoken tutorial and edit the patron details.
501,,,,"hi,when you define mathematical expressions you need to provide brackets that follow bodmas rule; that is the best practice.here what is happening is that the operation a = 64 / product(4); is getting translated to 64 / 4*4, which in interpreted as (64/4)*4 == 64.try rewriting the definition as #define product(n) (((n)*(n))). yes, as you might have noticed there is an extra bracket in there, which is again a best practice i have seen followed by others.cheers!"
502,,,,"namespacing is a way to wrap code into ""segments"" so that your code does not conflict with others. for example, lets say that i create a program for multiplying two numbers. i put the code in a function called:int multiply(int a, int b) { return a * b; }now suppose, you use my code in your program. but your program also has a multiply function with the same signature. but the function does something different than mine. say:int multiply(int a, int b) { static int c = 0; c--; return a*b*c; }now that's a problem. how would you solve this problem? you could just change the name of your function, or mine, but what if there are thousand places where i used my function in my program that you imported. would you change all their names? that's not very smart. so to fix this problem, we have namespacing.consider my program, but this time, inside a namespace.namespace myprogram {int multiply(int a, int b) { return a * b; }}now if you import my code in yours, and there's a function called multiply with the same signature in your code, there would be no conflicts. because, now, my function is now myprogram::multiply, inside a namespace. and if you want to use it, you will have to write myprogram::multiply(_arg1, _arg2);but what if your program does not have a multiply function? then it would be just a pain to write myprogram::multiply everytime you want to use my function. to fix this, we import the namespace in our prgram. to do so, we use the keyword ""using"". so:using namespace myprogram;adding this to the top of the code, will allow you to use the function multiply(_arg1, _arg2) anywhere below it without having to specify the namespace.in a similar way, ""std"" is the namespace of the standard library offered by c++. all c++ library functions and containers are enclosed inside the std namespace. so you put using namespace std; at the top of the code to use the library functions, containers, without specifying the namespace, such as cout, cin, vector, map, etc. these are actually std::cout, std::cin, std::vector, etc.try removing that line & then use ""cout"" to output and see what happens!"
503,,,,"i think you are asking about after installing the ubuntu, after creating file system either in virtual box or direct installation on hard disk you cant change the memory size.there is a special method.again you need to go with live ubuntu cd..."
504,,,,yes.
505,,,,i am unable to type in hindi in q&a in this website. 
506,,,,"their are so many editor alternative to context editor u can use atom ,geany ,notepad++"
507,,,, click site administrator under the course category on left side then click create new course optionnow you can create new course
508,,,,"grand(2, 2, ""uin"", 3, 9) where the first 2,2 represents the size of the matrix.and the last two numbers represent are the range of the random integers"
509,,,,"#include<stdio.h>int main(){  print(""welcome to the world of c"");  return 0;}"
510,,,,"for 3*3 matrix a, type the following to get the 3rd row 1st, the 1st row second, and the 2nd row 3rda(1:3, :) = [a(3,:); a(1,:); a(2,:)]"
511,,,,yes.any subject contentcan be uploaded and administered using moodle.
512,,,,"     the option glc-alpha-d-glucose is changed to glc-alpha-d-glucopyranos..  it is the same, please select glc-alpha-d-glucopyranos.."
513,,,,that says your packages are broken. you need to correct it by reinstalling koha.
514,,,,in one of koha tutorial series we have already shown how to create group. please refer
515,,,,command to plot is plot((sin(x)*sin(x))/x).
516,,,,"it is true that condenser and reboiler pressure is taken as 1 atm in the shortcut column. the reboiler pressure in the distillation column which is 1.1 atm is a very minor deviation from reboiler pressure in the shortcut column which is 1 atm and, therefore, it won't make a significant difference in the distillation column results. however, the reason behind entering 1.1 atm as reboiler pressure in the distillation column is to demonstrate how the intermediate stage pressure is generated using interpolation.about the different error messages that keep coming is due to the ""flowsheet calculator active"" button which is active when you are entering different input values in the distillation column. if the ""flowsheet calculator active"" button is turned on, dwsim will try to simulate the flowsheet as soon as an input value is entered/changed. since entering the input data is not completed, that's why it will keep throwing the error message. the error message will not occur anymore once you complete all the required input for the column. if you wish not to see the error message, you may turn off the ""flowsheet calculator active"" button till you complete entering all the input values. once you complete entering the values, turn on the ""flowsheet calculator active"" button and click on ""solve flowsheet""."
517,,,,kindly watch the video for the demo on how to open a bank account in sbi bank.
518,,,,please refer following link http://www.ecircuitcenter.com/spicesummary.htmi am trying to simulate 'analog behavioral models' for implementation of piece wise linear model of diode.first i made sub circuit using sub circuit builder.v1  2 1 dc 0.7u1  3 1 porta1 3 (3 2) u2.model u2 aswitch(cntl_on=0.7 cntl_off=0.699 r_on=0.01 r_off=1e6)//now i tried to run .include diode.subv_u2 5 3 0v_u3 1 2 0* plotting option vplot8_1x2  0 2 dioder1  1 3 300v1  0 4 dc 0.3x1  4 3 diodeidc1  5 0 3m.dc  v1 100e-03 100e-03 100e-03.plot i(v_u2).plot i(v_u3).plot v(3) .endi got following errors.warning: dynamic gmin stepping failedwarning: source stepping faileddoanalyses: iteration limit reachedrun simulation(s) abortederror: no such vector i(v_u2)error: no such vector i(v_u3)error: no such vector v(3)ngspice 1 -> 
519,,,,what problem?  please give a screenshot.  you can put it on google drive and give a link.
520,,,,"dear user,yes, the last used shape will be the default selected shape."
521,,,,"you should use the conversion formula for radian to degree. for more details, you might want to visit https://stackoverflow.com/questions/21402259/radian-measure-in-sin-in-r"
522,,,,please do the following:1. open the cmd prompt and type ngspice. post the message on the terminal here.2. go to c:\oscad\spice\bin. double click on ngspice.exe. let us know what message is displayed/what window gets opened up3. check if the path of ngspice is given correctly in environment variable
523,,,,please do not paste coding questions here. please ask any specific questions regarding the spoken tutorial.
524,,,,
525,,,,"yes, scilab editor and scinote both are same. to open it write command 'editor()' on scilab console."
526,,,,use marcedit to convert excel to .mrc file please see...http://manual.koha-community.org/3.6/en/marcedit.html
527,,,,"sure, i shall go through this circuit and revert back. let me know your queries."
528,,,,by creating assignment files on moodle data base 
529,,,,"all the things are done properly. but still, it's not opening"
530,,,,"// assignment 1#include<stdio.h>{  printf(""welcome to  the world of c"");  return 0;}// output : welcome to the world of c   ans : cursor will blink on that line"
531,,,,"first define x with values, you can get list of values via linspace functionx=linspace(0,100,10)above command save 10s of values starting range from 0 to 100 "
532,,,,ctrl+d
533,,,,"dear rakhi,i already loaded oscad libraries and not able to locate voltage controlled switch component which can be simulated with ngspice.i am not able to design new switch model using model builder also."
534,,,,we recommend using python 3.5 or python 3.6 as specified in the installation sheet. 
535,,,,"at 2:45, we have specified the below line.before installing any new plugin, ensure that it is available for the moodle version you are using.please check your moodle version and your attendance plugin version."
536,,,,"#include<studio.h>int main (){printf ( "" welcome to the "");printf(""world of c"");return 0;}so when we don't use \n then the output will be welcome to the world of c.                                                                                                                pooja mirzapure"
537,,,,"the problem is that kicad ngspice and python has not been installed on your computer. you need to re-install these softwares. for installing kicad, go to oscad installer folder. go to the folder ""resources"". double click on the file kicad.exe. give the installation path as c:\ after installation, change the environment variable path of kicad to c:\kicad\bin. follow similar procedure for ngspice and python also. then launch the osacd."
538,,,,"a tuple is one of the data structures in python. the tuples are sequences, just like lists or arrays. you will learn more about tuple in the sequence datatypes tutorial."
539,,,,you need to tell me more about the circuit. copy paste the netlist and let me know what circuit you are building. you also need to tell me the values you gave in analysis inserter and netlist converter.
540,,,,"please enable email check box at patron messaging preferences, it can be done using staff login interface at patron category. "
541,,,,"it means that you should, as and when you have time, write scripts with lines with and without a semicolon to see the difference it makes."
542,,,,"getch() vs putch() is easy: the first is used for input, the second for output.  the difference between getch() and getche(), i do not remember, nor should you as programmer need to.  you need to learn to look up the minor differences as and when necessary, from the documentation."
543,,,,"there is a separate tab named ""compound amounts"" in ""input data"" to enter composition. please refer an image: https://drive.google.com/file/d/1a7wkfzo6q4ykjfskaxggh46uctdsjy5b/view?usp=sharing"
544,,,,"the commands specified in the tutorial is for linux system.if you are a windows user, please go through the below link for installation on windows 10. (see the second page of the .pdf file)https://spoken-tutorial.org/media/videos/97/moodle-learning-management-system-installation-sheet-english.pdf"
545,,,,"sir i have internet connection, i followed the steps explained in video, still not working getting the error as =""get host by name failed in tcp_connect()"", how to install if we get this error"
546,,,,there is something wrong with the circuit and hence the netlist. the simulator has tried to simulate but failed. can you please copy - paste the netlist (file with the extension .cir.out) here?
547,,,,"yes, the walls can be built in one day. each step is followed by another in quick succession so the mason will have to plan the work well.slurry comes out after complete fermentation.once the fermentation is completed, gas being lighter starts accumulating in the upper part of the dome and the pressure generated by the gas, pushes the slurry outside.
pls watch - generation of biogashttps://spoken-tutorial.org/watch/biogas+plant/generation+of+biogas/english/"
548,,,,"at iit bombay, we have an application software centre that has installed moodle and maintains it.  it provides all the required support.  in a similar way, someone in your institution should also support you.in general, anyone who has a degree in computer science or it or an mca should be able to install moodle and maintain it for you.  so, your institution should at least consider recruiting such a person for this activity."
549,,,,"its a text editor, like notepad in windows"
550,,,,"hi,     you can draw both bonding and anti-bonding orbitals for the structures using jmol application. script command starts with key word ""lcaocartoon create"" followed by the ""type"" of the orbital (example ""px, py, pz or sp , sp2, sp3 etc).""lcaocartoon create pz""for creating anti-bonding orbitals color the lobes of p orbital on individual atoms differently using the commandselect atomno=1;lcaocartoon color red create pzaselect atomno=1;lcaocartoon color white pzb""more information is available at the given link: http://chemapps.stolaf.edu/jmol/docs/?ver=14.2#lcaocartoon.hope this helps.snehalatha kaliappan"
551,,,,yes but i entered its show my window actually its wrong
552,,,,then extended fossee assignment time after posting your videos. need time to prepare and then have to do task. 
553,,,,same
554,,,,"dear learner,delighted to know that you are interested in knowing about a possibletest in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominalcost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self-learning.  please use the forum to askyourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representativeathttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.happy learning,spoken tutorial team"
555,,,,"in [4]: %pylab---------------------------------------------------------------------------attributeerror                            traceback (most recent call last)<ipython-input-4-4ea51f371400> in <module>----> 1 get_ipython().run_line_magic('pylab', '')c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\ipython\\core\\interactiveshell.py in run_line_magic(self, magic_name, line, _stack_depth)   2305                 kwargs['local_ns'] = sys._getframe(stack_depth).f_locals   2306             with self.builtin_trap:-> 2307                 result = fn(*args, **kwargs)   2308             return result   2309<c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\decorator.py:decorator-gen-110> in pylab(self, line)c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\ipython\\core\\magic.py in <lambda>(f, *a, **k)    185     # but it's overkill for just that one bit of state.    186     def magic_deco(arg):--> 187         call = lambda f, *a, **k: f(*a, **k)    188    189         if callable(arg):c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\ipython\\core\\magics\\pylab.py in pylab(self, line)    153             import_all = not args.no_import_all    154--> 155         gui, backend, clobbered = self.shell.enable_pylab(args.gui, import_all=import_all)    156         self._show_matplotlib_backend(args.gui, backend)    157         print (""populating the interactive namespace from numpy and matplotlib"")c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\ipython\\core\\interactiveshell.py in enable_pylab(self, gui, import_all, welcome_message)   3421         from ipython.core.pylabtools import import_pylab   3422-> 3423         gui, backend = self.enable_matplotlib(gui)   3424   3425         # we want to prevent the loading of pylab to pollute the user'sc:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\ipython\\core\\interactiveshell.py in enable_matplotlib(self, gui)   3382                 gui, backend = pt.find_gui_and_backend(self.pylab_gui_select)   3383-> 3384         pt.activate_matplotlib(backend)   3385         pt.configure_inline_support(self, backend)   3386c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\ipython\\core\\pylabtools.py in activate_matplotlib(backend)    311     matplotlib.rcparams['backend'] = backend    312--> 313     import matplotlib.pyplot    314     matplotlib.pyplot.switch_backend(backend)    315c:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\matplotlib\\pyplot.py in <module>     30 from cycler import cycler     31 import matplotlib---> 32 import matplotlib.colorbar     33 import matplotlib.image     34 from matplotlib import rcsetup, stylec:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\matplotlib\\colorbar.py in <module>     27 import matplotlib.artist as martist     28 import matplotlib.cbook as cbook---> 29 import matplotlib.collections as collections     30 import matplotlib.colors as colors     31 import matplotlib.contour as contourc:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\matplotlib\\collections.py in <module>     15     16 import matplotlib as mpl---> 17 from . import (_path, artist, cbook, cm, colors as mcolors, docstring,     18                lines as mlines, path as mpath, transforms)     19 import warningsc:\\users\\pgm23\\appdata\\local\\programs\\python\\python36-32\\lib\\site-packages\\matplotlib\\cm.py in <module>     25     26 import matplotlib as mpl---> 27 import matplotlib.colors as colors     28 import matplotlib.cbook as cbook     29 from matplotlib._cm import datadattributeerror: module 'matplotlib' has no attribute 'colors'"
556,,,,"yes, it is possible. you can assign multiple teachers for one course. "
557,,,,"scilab is suitable for numerical calculations, not necessarily good for symbolic computations, which is perhaps what you have in mind.  for symbolic computations, a useful software is sage.  unfortunately, we have not done work on this software."
558,,,,"heat exchanger is available at the ""exchangers"" tab at the bottom of the canvas. please refer an image: https://drive.google.com/file/d/1lfctnuuqfs_xfqix3vxzgnyqwd-atuxv/view?usp=sharing"
559,,,,"#include<iostream>using namespace std;int main (){cout<<""\nname : pranita"";cout<<""\ncity : nanded"";return 0;}output of the programname : pranitacity : nanded"
560,,,,"all our tutorials are made using ubuntu linux  os. terminal commands will work only linux.if you are a windows user, please go through the below link for installation on windows 10. (see the second page of the .pdf file)https://spoken-tutorial.org/media/videos/97/moodle-learning-management-system-installation-sheet-english.pdf"
561,,,,no
562,,,,download the files prime.txt and pendulum.txt from the resources below the video section.extract the file if it is a zip file.then copy all the downloaded and extracted(if any) into the current working directory.to check the current working directory type %pwd inside ipython terminal.
563,,,,please go through the additional reading material link below the video player.https://spoken-tutorial.org/media/videos/29/1476/resources/developing-scilab-toolbox-for-calling-python-and-its-functions-additionalmaterial.pdfwe have explained the procedure for few python functions. you can make use of this and try for other python functions.we didn't explore on how to interface with r software.
564,,,,"hello suneel,pls visit the following link for instructions on using mingw compiler in windows.http://spoken-tutorial.org/media/videos/43/c-and-cpp-installation-sheet-english.pdfnancy varkey"
565,,,,you can use the interactive plotting window that appears after simulation. select all those nodes for which you wish to see the plots and then click on plot button.
566,,,,the bank where you announce the scheme will specify these details 
567,,,,please mention the error from the ngspice console or atleast paste the cir.out file in esim forum.
568,,,,gsoc is a program for the students to contribute towards open source projects.also look for fossee fellowship.
569,,,,"you may already have located this. but if you scroll down on the video page, there are bunch of resources available on the right. report.tex is available under the resource code files. just click on code files and it gets downloaded."
570,,,,"moodle supports tex/latex, you can write mathematical expression in tex/latex, for more details refer following link.https://docs.moodle.org/23/en/using_tex_notation"
571,,,,"hello,please ensure that these three things are done properly1)in url it should be localhost/account, make sure there is no spelling mistake.2) xampp is running i.e apache and mysql.3) you have renamed the frontaccounting folder as account."
572,,,,"there is way to use degree range (list of angles) via below command x=linspace(0,180,7)it will give followingarray([  0.,  30.,  60.,  90., 120., 150., 180.])"
573,,,,"// assignment 1#include<stdio.h>int main(){  printf(""welcome to the world of c"");  return 0;} ans- cursor will blink on the same line and the next statements will be printed on the same line"
574,,,,on ubuntu -try this for php 7.1sudo apt-get install php7.1-gdalso restart apache after the commandsudo service apache2 restart==================================on centos -- https://ma.ttias.be/install-gd-library-for-php5-on-centos/- https://stackoverflow.com/questions/9024946/centos-enabling-gd-support-in-php-installationlet us know if you have any further queries.
575,,,,please follow the instructions in the video carefully and the lcd should run properly. crosscheck the connections before powering it up.
576,,,,"//assignment 1#include<studio.h>int main(){print(""welcome to the "");printf(""world of c"");return 0;}"
577,,,,"yes, it has both data. but once you execute blockmesh command, all mesh data will be calculated in ""constant/polymesh"" folder.thanks,divyesh variya"
578,,,,"  this seems to be a bug in the program. first click on  select a set of atoms tool on the toolbar, then right-click to open the pop-up menu, go to select option, and from the sub-menu select none option. this will deselect all the selections. now again click on select a set of atoms option on the toolbar and make the required selections."
579,,,,we recommend you should install r and rstudio on your machine. it would help you to follow the tutorial in a better way. 
580,,,,ys
581,,,,this exercise is meant to motivate an understanding of inconsistent matrix operations. see the sizes of a*c and c*a and the problem will be clear.
582,,,,mobile app is available
583,,,,"drc is performed after the tracks are placed on the layout screen. kindly make sure that you are using the copper layers to place the tracks on, and that no cross-section happening in two tracks on the same layer  "
584,,,,please make sure that you have a working internet connection. 
585,,,,you cannot edit a console command that has been executed.
586,,,,click on view all submission --> grade 
587,,,,it is right below the video player.  pls scroll the page and you will be able to locate the link.
588,,,,dear narendraplease follow the below steps for the sequence of learning:1. on the home page click on video search.2. select the foss and the required language.3. the correct sequence of learning is now displayed.thank you.rahulquality reviewspoken tutorial project.
589,,,,copy the image and paste
590,,,,"yes, you can use install and use both linux and windows os in a same pc.you can either install them as a dual boot or via virtualbox.how to instal ubuntu linux in windows os via virtualbox is explained in a spoken tutorial series named ""ubuntu linux on virtualbox"".kindly refer the same."
591,,,,will this help? http://forums.spoken-tutorial.org/question/103/voltage-controlled-switch/
592,,,,"#include<iostream>using namespace std;int main(){cout<<""name: siddeshwar""<<stdl<<""city: parbhani""<<stdl;return 0;}"
593,,,,"  please download the file from the code files link and extract the file on to your desktop folder. check if you have bangalore.jpg file in the extracted folder. if yes, then open the qgis interface and click on the layer menu on the top, from the drop-down options select ""add layer"", from the sub-menu select ""add raster layer"" option. in the dialog-box select the bangalore.jpg file. click on ""open"" button at the bottom of the dialog-box.bangalore.jpg map opens in the qgis canvas.please let me know if you have any issues."
594,,,,"how can anyone help you with this question?  please give more details, as a reply to this.  please do not start a new thread."
595,,,,"please follow the instructions carefully for the hand drawing in the video and practice. in a similar way, you can achieve the result for flower drawing."
596,,,,"if you are a beginner, i suggest that you do not try to do this, but to follow what latex does by default (by the way, even i do this for all the letters that i write, and i have not lost anything).if you are an advanced user of latex, you can do a search on the following packages/style: isodoc, pbsi, and assign, and there are documents on the web.  this will solve your problem.  it will have many more advanced features like writing letters multiple recipients, etc.  i have been meaning to create a spoken tutorial on this topic, but haven't got time to do it."
597,,,,"you could directly use numbers along with words and in case, if you want the count of all words, check the status bar of the editor to get the count line by line."
598,,,,"add s=poly(0,'s'); to make the control system work."
599,,,,"hello reader,range(lowerbound,upperbound)generates a range from lowerbound to (upperbound minus 1)it doesnt include the upperboundso range(1,5) gives [1,2,3,4]"
600,,,,"please view the captaincy data set by using the ""view(captaincy)"" command and check whether there are any other columns except names, y, played, won, lost and victory. if there are, then that is creating the problem of mismatch."
601,,,,could you please explain the meaning of two arguments (num1 and num2) in your function? 
602,,,,"hi,1) when creating a new project in esim, you cannot use space in the name of the project.if not 2) have you installed esim in c:/program files or c:/program files(x86), because that causes a problem too.refer the installation sheet given here : https://static.fossee.in/esim/installation-files/how_to_install_esim_on_windows_os_.pdf"
603,,,,decimal:             0            1            2            3            4            5            6            7            8              9            10          11          12                binary:                0            1            10          11          100        101        110        111        1000         1001      1010      1011      1100        
604,,,,"dear suneel,pls visit the following link for detailed instructions on how to use the c/c++ spoken tutorials and mingw compiler in windows.http://spoken-tutorial.org/media/videos/43/c-and-cpp-instruction-sheet-english.pdfnancy varkey"
605,,,,"friend function are outside functions that can access private data in a class. they are defined as normal functions but are declared inside the class with prefix friend.inline functions. usually when we call a function, the control should move from caller function to the called function. but inline functions are those which expand during calling without jumping. function is defined at the place where it are called if it is an inline function"
606,,,,"plot(x, sin(x), 'b--', linewidth=3)"
607,,,,"if you want to calculate remainder then you should use modulus (%) instead of division. for eg. u want to find out the even and odd numberthen you may write like thisinclude<stdio.h>void main(){int n;printf(""enter the number:);scanf(%d,'&n);if(n%2==0){prinntf(""number i.e. %d is even"");}else{printf(""number i.e. %d is odd "");}"
608,,,,"dear user,thanks for reaching out! you did not close the brackets after the path. was that the problem you were facing?hope this helps.regards,trupti"
609,,,,"hi,will recommend that you go with the db that you are most comfortable with.  there is not much difference.  please note that all the operations require read / write.using a separate database server with a good configuration that will handle the read / write requests, with ssd / nvme drives actually helps in speeding up the working.usually, the db server is on the same machine with the web server.  for medium sites (upto 200 concurrent users), it works fine.  performance is thus not limited only to the type of db used.with regards,jsp"
610,,,,"if you read your instruction sheet, you will find that you have to use fft instead of dft."
611,,,,"hi,most of the assignment questions are based on what is been taught in that particular tutorial. the assignments are meant for self evaluation, we shall not be providing any solution for that."
612,,,,"assignment -6 //c program using if statement to check a is greater than b or less than b//#include<stdio.h>void main(){int a,b;printf(""enter the value of a and b"");scanf(""%d%d"",&a,&b);if(a>b){printf(""a is greater than b \n"");}if(a<b){printf (""a is less than b \n"");}getch();}output is as followsa=24b=34a is greater than b"
613,,,,"there is a spoken tutorial on latex series named ""indic language typesetting in latex"".this will help you on typesetting in local languages."
